TOWN11CD,TOWN11NM,POPULATION_2011,SIZE_FLAG,RGN11NM,COASTAL,COASTAL DETAILED,TTWA11CD,TTWA11NM,TTWA CLASSIFICATION,JOB DENSITY FLAG,INCOME FLAG,UNIVERSITY FLAG,Level4Qual_residents35-64_2011,KS4_2012-2013_counts,Key Stage 2 attainment_school year 2007 to 2008,Key Stage 4 attainment_school year 2012 to 2013,Level 2 at age 18,Level 3 at age 18,Activity at age 19: full-time higher education,Activity at age 19: sustained further education,Activity at age 19: appprenticeships,Activity at age 19: employment with earnings above 0,Activity at age 19: employment with earnings above 10K,Activity at age 19: out-of-work,Highest level qualification achieved by age 22: less than level 1,Highest level qualification achieved by age 22: level 1 to level 2,Highest level qualification achieved by age 22: level 3 to level 5,Highest level qualification achieved by age 22: level 6 or above,Highest level qualification achieved by age 22: average score,Education Score
E34000007,Carlton in Lindrick BUA,5456,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000291,Worksop and Retford,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,65,65.0,70.8,72.3,50.8,30.8,21.5,*,52.3,36.9,*,*,34.9,39.7,*,3.3,-0.5
E34000016,Dorchester (West Dorset) BUA,19060,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000046,Dorchester and Weymouth,Majority town and city (small),Working,Mid deprivation towns,No university,Medium,239,69.1,71.1,85.7,60.1,41.8,13.4,10.0,51.0,24.7,4.2,*,21.7,44.6,33.3,3.7,2.0
E34000020,Ely BUA,19090,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,155,71.4,56.1,83.9,45.8,35.5,11.0,7.7,57.4,27.7,*,*,34.4,31.2,32.5,3.5,-1.0
E34000026,Market Weighton BUA,6429,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000220,Hull,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,58,71.0,53.4,91.2,49.1,25.9,25.9,*,58.6,31.0,*,*,*,66.1,*,3.5,-1.2
E34000027,Downham Market BUA,10884,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000225,King's Lynn,Majority rural,Mixed,Higher deprivation towns,No university,Low,93,78.0,62.4,78.5,40.9,26.9,20.4,15.1,55.9,30.1,15.1,*,32.6,44.2,*,3.2,-1.2
E34000039,Penrith BUA,15181,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000106,Penrith,Majority rural,Working,Lower deprivation towns,No university,Low,158,73.9,74.1,91.1,46.2,31.6,16.5,12.7,62.0,37.3,7.6,*,29.4,40.0,28.1,3.5,0.8
E34000048,Bolsover BUA,11754,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000190,Chesterfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,118,70.9,50.0,76.3,37.3,21.2,27.1,20.3,50.8,26.3,11.9,*,34.5,47.9,*,3.1,-3.7
E34000055,March BUA,21051,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000287,Wisbech,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,235,71.1,57.4,84.3,40.4,25.5,17.4,10.2,47.7,26.8,6.8,*,37.8,37.8,23.6,3.3,-2.2
E34000056,Southam BUA,6567,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000228,Leamington Spa,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,92,81.9,91.3,90.2,67.4,38.0,21.7,16.3,52.2,25.0,*,*,19.6,47.8,32.6,3.8,6.4
E34000067,Royston BUA,15781,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,169,73.0,65.1,82.2,53.8,23.7,21.9,14.2,58.0,39.1,*,*,23.7,50.9,23.7,3.4,0.3
